model,mode,category,n,semantic_ok,unsafe_state_change,unintended_drift,identity_error
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,add_item,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,constraint_add_safe,30,73.33333333333333,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,constraint_new_conflict,30,0.0,6.666666666666667,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,modifier_add_scoped,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,modifier_reversal,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,quantity_decrease,30,93.33333333333333,0.0,6.666666666666667,6.666666666666667
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,quantity_increase,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,remove_scoped_duplicate,30,93.33333333333333,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,replace_item,30,63.33333333333333,0.0,3.3333333333333335,3.3333333333333335
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,size_change_scoped,30,83.33333333333334,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,stale_reference,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,line_patch,unavailable_add,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,constraint_add_safe,30,73.33333333333333,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,constraint_new_conflict,30,0.0,16.666666666666664,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,modifier_add_scoped,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,modifier_reversal,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_decrease,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate,30,80.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,replace_item,30,86.66666666666667,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,size_change_scoped,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,stale_reference,30,100.0,0.0,0.0,0.0
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,unavailable_add,30,93.33333333333333,6.666666666666667,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,add_item,30,96.66666666666667,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,constraint_add_safe,30,36.666666666666664,0.0,0.0,0.0
Qwen/Qwen3-30B-A3B-Instruct-2507,line_patch,constraint_new_conflict,30,0.0,16.666666666666664,3.3333333333333335,0.0
