model,mode,case_id,semantic_program_id,replicates_observed,provider_successes,semantic_successes,semantic_outcome_variants,exact_response_variants,replicates_expected,complete_replicate_set,all_replicates_provider_ok,all_replicates_semantic_ok,any_replicate_semantic_ok,semantic_outcome_agreement,exact_response_agreement
NousResearch/Hermes-4-405B,json_patch,add_item_000,add_item:template-00,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_001,add_item:template-01,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_002,add_item:template-02,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_003,add_item:template-03,3,3,0,1,3,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_004,add_item:template-04,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_005,add_item:template-05,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_006,add_item:template-06,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_007,add_item:template-07,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_008,add_item:template-00,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_009,add_item:template-01,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_010,add_item:template-02,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_011,add_item:template-03,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_012,add_item:template-04,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_013,add_item:template-05,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_014,add_item:template-06,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_015,add_item:template-07,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_016,add_item:template-00,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_017,add_item:template-01,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_018,add_item:template-02,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_019,add_item:template-03,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_020,add_item:template-04,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_021,add_item:template-05,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_022,add_item:template-06,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_023,add_item:template-07,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_024,add_item:template-00,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_025,add_item:template-01,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_026,add_item:template-02,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_027,add_item:template-03,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,add_item_028,add_item:template-04,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,add_item_029,add_item:template-05,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe_000,constraint_add_safe:template-00,3,3,0,1,3,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe_001,constraint_add_safe:template-01,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe_002,constraint_add_safe:template-02,3,3,0,1,3,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe_003,constraint_add_safe:template-03,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe_004,constraint_add_safe:template-04,3,3,0,1,2,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe_005,constraint_add_safe:template-05,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe_006,constraint_add_safe:template-06,3,3,0,1,1,3,True,True,False,False,True,True
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe_007,constraint_add_safe:template-07,3,3,0,1,3,3,True,True,False,False,True,False
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe_008,constraint_add_safe:template-00,3,3,0,1,2,3,True,True,False,False,True,False
