model,mode,case_id,category,provider_ok,latency_s,prompt_tokens,completion_tokens,json_valid,schema_valid,status_correct,order_exact,constraints_exact,state_preserved_when_blocked,semantic_ok,unsafe_state_change,unintended_drift,identity_error,operation_executable,status_error,order_error,constraint_error,operation_error,error
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_004,add_item,True,1.3894550800323486,1291,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_007,add_item,True,1.392441987991333,1334,146,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_005,add_item,True,1.4321541786193848,1292,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_008,add_item,True,1.5249838829040527,1291,143,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_001,add_item,True,1.5570530891418457,1292,148,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_009,add_item,True,1.5590250492095947,1295,148,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_011,add_item,True,1.5801002979278564,1332,194,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_000,add_item,True,1.6415376663208008,1285,108,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_002,add_item,True,1.6661951541900635,1288,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_010,add_item,True,1.6989848613739014,1287,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_003,add_item,True,1.8780639171600342,1332,194,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_006,add_item,True,2.1522347927093506,1338,199,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_012,add_item,True,0.8576657772064209,1293,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_016,add_item,True,0.7364389896392822,1291,108,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_018,add_item,True,0.8217430114746094,1289,113,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_020,add_item,True,0.7642178535461426,1290,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_017,add_item,True,0.931368350982666,1297,148,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_013,add_item,True,1.106438159942627,1291,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_015,add_item,True,1.475644826889038,1335,146,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_021,add_item,True,1.4993829727172852,1291,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_019,add_item,True,1.5642099380493164,1335,150,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_022,add_item,True,1.6437571048736572,1343,155,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_014,add_item,True,2.09208607673645,1341,199,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_024,add_item,True,1.8309869766235352,1290,143,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_025,add_item,True,1.9626960754394531,1297,148,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_027,add_item,True,1.8280930519104004,1335,150,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_001,remove_scoped_duplicate,True,1.134054183959961,1343,79,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_028,add_item,True,2.041594982147217,1296,147,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_029,add_item,True,2.0876410007476807,1294,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_023,add_item,True,2.544294834136963,1335,190,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_026,add_item,True,2.4099178314208984,1287,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_000,remove_scoped_duplicate,True,1.8995399475097656,1371,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_003,remove_scoped_duplicate,True,1.6987221240997314,1373,114,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_004,remove_scoped_duplicate,True,1.6993930339813232,1361,109,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_002,remove_scoped_duplicate,True,2.3585550785064697,1374,147,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_009,remove_scoped_duplicate,True,1.2105028629302979,1346,79,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_006,remove_scoped_duplicate,True,1.8153131008148193,1379,113,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_005,remove_scoped_duplicate,True,2.5183069705963135,1376,189,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_010,remove_scoped_duplicate,True,2.0798141956329346,1373,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_011,remove_scoped_duplicate,True,2.097562074661255,1373,149,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_007,remove_scoped_duplicate,True,2.5811073780059814,1389,153,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_008,remove_scoped_duplicate,True,2.523880958557129,1377,147,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_012,remove_scoped_duplicate,True,2.0674569606781006,1363,109,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_014,remove_scoped_duplicate,True,1.8023262023925781,1382,113,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_013,remove_scoped_duplicate,True,2.418912887573242,1375,189,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_017,remove_scoped_duplicate,True,1.5772347450256348,1348,105,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_015,remove_scoped_duplicate,True,2.164583206176758,1390,115,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_016,remove_scoped_duplicate,True,2.0821590423583984,1377,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_018,remove_scoped_duplicate,True,2.3279199600219727,1375,147,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_022,remove_scoped_duplicate,True,1.5746829509735107,1384,113,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_019,remove_scoped_duplicate,True,1.8281500339508057,1376,114,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_025,remove_scoped_duplicate,True,1.4767920970916748,1348,105,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_027,remove_scoped_duplicate,True,1.3816430568695068,1376,114,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_021,remove_scoped_duplicate,True,1.94514799118042,1375,145,True,True,True,False,True,False,False,False,False,False,True,False,True,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_020,remove_scoped_duplicate,True,2.2241463661193848,1360,144,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_026,remove_scoped_duplicate,True,1.5728869438171387,1373,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_023,remove_scoped_duplicate,True,2.036858081817627,1390,153,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_024,remove_scoped_duplicate,True,2.0149409770965576,1376,147,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_028,remove_scoped_duplicate,True,1.8360378742218018,1366,144,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_029,remove_scoped_duplicate,True,1.9371378421783447,1378,146,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
