model,mode,case_id,category,semantic_program_id,template_family_id,provider_ok,latency_s,prompt_tokens,completion_tokens,json_valid,schema_valid,status_correct,order_exact,constraints_exact,state_preserved_when_blocked,semantic_ok,unsafe_state_change,unintended_drift,identity_error,identity_observable,identity_fidelity,operation_executable,authorized_write_precision,authorized_write_recall,collateral_write_count,status_error,order_error,constraint_error,operation_error,error
Qwen/Qwen2.5-7B-Instruct-local,json_patch,add_item_003,add_item,add_item:template-03,add_item:template-03,True,2.61916346848011,1221,115,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0,False,True,False,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,line_patch,add_item_003,add_item,add_item:template-03,add_item:template-03,True,1.6521044690161943,1647,119,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,add_item_003,add_item,add_item:template-03,add_item:template-03,True,2.66713129542768,1311,201,True,False,False,False,True,,False,False,False,False,True,True,True,0.0,0.0,0,True,True,False,False,bad_top_level_keys;updated_order_bad_keys;bad_reasons
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,constraint_add_safe_004,constraint_add_safe,constraint_add_safe:template-04,constraint_add_safe:template-04,True,2.9233239591121674,1306,221,True,True,False,True,True,,False,False,False,False,True,True,True,1.0,1.0,0,True,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,json_patch,constraint_add_safe_004,constraint_add_safe,constraint_add_safe:template-04,constraint_add_safe:template-04,True,2.0090723875910044,1216,150,True,True,False,False,False,,False,False,False,False,True,True,False,0.0,0.0,0,True,True,True,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,line_patch,constraint_add_safe_004,constraint_add_safe,constraint_add_safe:template-04,constraint_add_safe:template-04,True,1.093413045629859,1642,76,True,True,False,False,False,,False,False,False,False,True,True,True,0.0,0.0,0,True,True,True,False,
Qwen/Qwen2.5-7B-Instruct-local,json_patch,constraint_new_conflict_011,constraint_new_conflict,constraint_new_conflict:template-03,constraint_new_conflict:template-03,True,1.669502029195428,1183,124,True,True,False,False,False,False,False,False,False,False,True,True,False,0.0,0.0,0,True,True,True,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,constraint_new_conflict_011,constraint_new_conflict,constraint_new_conflict:template-03,constraint_new_conflict:template-03,True,1.9359820168465376,1273,144,True,True,False,True,True,True,False,False,False,False,True,True,True,1.0,1.0,0,True,False,False,False,
Qwen/Qwen2.5-7B-Instruct-local,line_patch,constraint_new_conflict_011,constraint_new_conflict,constraint_new_conflict:template-03,constraint_new_conflict:template-03,True,1.1252825204283,1609,78,True,True,False,False,False,False,False,False,False,False,True,True,True,0.0,0.0,0,True,True,True,False,
Qwen/Qwen2.5-7B-Instruct-local,json_patch,modifier_add_scoped_014,modifier_add_scoped,modifier_add_scoped:template-06,modifier_add_scoped:template-06,True,0.8776616100221872,1229,62,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0,False,True,False,True,missing_or_stale_version_test
Qwen/Qwen2.5-7B-Instruct-local,rewrite_with_ids,modifier_add_scoped_014,modifier_add_scoped,modifier_add_scoped:template-06,modifier_add_scoped:template-06,True,2.364060888066888,1319,177,True,False,True,True,True,,False,False,False,False,True,True,True,1.0,1.0,0,False,False,False,False,updated_order_bad_keys
