model,case_id,replicate_index,semantic_program_id,json_patch,line_patch,rewrite_with_ids,all_conditions_available
NousResearch/Hermes-4-405B,add_item_000,0,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_000,1,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_000,2,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_001,0,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_001,1,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_001,2,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_002,0,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_002,1,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_002,2,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_003,0,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_003,1,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_003,2,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_004,0,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_004,1,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_004,2,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_005,0,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_005,1,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_005,2,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_006,0,add_item:template-06,True,True,True,True
NousResearch/Hermes-4-405B,add_item_006,1,add_item:template-06,True,True,True,True
NousResearch/Hermes-4-405B,add_item_006,2,add_item:template-06,True,True,True,True
NousResearch/Hermes-4-405B,add_item_007,0,add_item:template-07,True,True,True,True
NousResearch/Hermes-4-405B,add_item_007,1,add_item:template-07,True,True,True,True
NousResearch/Hermes-4-405B,add_item_007,2,add_item:template-07,True,True,True,True
NousResearch/Hermes-4-405B,add_item_008,0,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_008,1,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_008,2,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_009,0,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_009,1,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_009,2,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_010,0,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_010,1,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_010,2,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_011,0,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_011,1,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_011,2,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_012,0,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_012,1,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_012,2,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_013,0,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_013,1,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_013,2,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_014,0,add_item:template-06,True,True,True,True
NousResearch/Hermes-4-405B,add_item_014,1,add_item:template-06,True,True,True,True
NousResearch/Hermes-4-405B,add_item_014,2,add_item:template-06,True,True,True,True
NousResearch/Hermes-4-405B,add_item_015,0,add_item:template-07,True,True,True,True
NousResearch/Hermes-4-405B,add_item_015,1,add_item:template-07,True,True,True,True
NousResearch/Hermes-4-405B,add_item_015,2,add_item:template-07,True,True,True,True
NousResearch/Hermes-4-405B,add_item_016,0,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_016,1,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_016,2,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_017,0,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_017,1,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_017,2,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_018,0,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_018,1,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_018,2,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_019,0,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_019,1,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_019,2,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_020,0,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_020,1,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_020,2,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_021,0,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_021,1,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_021,2,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_022,0,add_item:template-06,True,True,True,True
NousResearch/Hermes-4-405B,add_item_022,1,add_item:template-06,True,True,True,True
NousResearch/Hermes-4-405B,add_item_022,2,add_item:template-06,True,True,True,True
NousResearch/Hermes-4-405B,add_item_023,0,add_item:template-07,True,True,True,True
NousResearch/Hermes-4-405B,add_item_023,1,add_item:template-07,True,True,True,True
NousResearch/Hermes-4-405B,add_item_023,2,add_item:template-07,True,True,True,True
NousResearch/Hermes-4-405B,add_item_024,0,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_024,1,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_024,2,add_item:template-00,True,True,True,True
NousResearch/Hermes-4-405B,add_item_025,0,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_025,1,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_025,2,add_item:template-01,True,True,True,True
NousResearch/Hermes-4-405B,add_item_026,0,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_026,1,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_026,2,add_item:template-02,True,True,True,True
NousResearch/Hermes-4-405B,add_item_027,0,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_027,1,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_027,2,add_item:template-03,True,True,True,True
NousResearch/Hermes-4-405B,add_item_028,0,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_028,1,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_028,2,add_item:template-04,True,True,True,True
NousResearch/Hermes-4-405B,add_item_029,0,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_029,1,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,add_item_029,2,add_item:template-05,True,True,True,True
NousResearch/Hermes-4-405B,constraint_add_safe_000,0,constraint_add_safe:template-00,True,True,True,True
NousResearch/Hermes-4-405B,constraint_add_safe_000,1,constraint_add_safe:template-00,True,True,True,True
NousResearch/Hermes-4-405B,constraint_add_safe_000,2,constraint_add_safe:template-00,True,True,True,True
NousResearch/Hermes-4-405B,constraint_add_safe_001,0,constraint_add_safe:template-01,True,True,True,True
