model,mode,case_id,replicate_index,category,semantic_program_id,template_family_id,provider_ok,latency_s,prompt_tokens,completion_tokens,estimated_cost_usd,response_sha256,json_valid,schema_valid,status_correct,order_exact,constraints_exact,state_preserved_when_blocked,semantic_ok,unsafe_state_change,unintended_drift,identity_error,identity_observable,identity_fidelity,operation_executable,authorized_write_precision,authorized_write_recall,collateral_write_count,status_error,order_error,constraint_error,operation_error,error
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_000,0,add_item,add_item:template-00,add_item:template-00,True,4.172997951507568,1602.0,132.0,0.00019979999999999998,690252e0a765061c65067a86f5995f57292184a2f0030f1903935b3bf40fbbc2,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_001,0,add_item,add_item:template-01,add_item:template-01,True,4.224719762802124,1609.0,135.0,0.00020139999999999996,00bb66dadc498504c177971119149996dc0f995db6d1473ba8acee1bc9ad63fd,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,add_item_002,0,add_item,add_item:template-02,add_item:template-02,True,5.5718090534210205,1269.0,225.0,0.0001944,3cf34374b99de247d937d6b99007a658fc5c48337396251b13c44f2287dc36ff,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,add_item_000,0,add_item,add_item:template-00,add_item:template-00,True,5.577716112136841,1266.0,227.0,0.0001947,3e6d8477ebfbee1a98bac007d77749ef9b15f8755b5697c477581f27c28ae499,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,add_item_001,0,add_item,add_item:template-01,add_item:template-01,True,5.585219621658325,1273.0,225.0,0.00019480000000000002,79dcdd4065ee8bc2a695f17092700ab72b8ff8884441320f2c6de3199c599222,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_002,0,add_item,add_item:template-02,add_item:template-02,True,2.4145100116729736,1605.0,133.0,0.0002004,31e730fe66d4d9349269815cbaaf3b46ad0adab1de3509caee25fa1827e47b03,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_003,0,add_item,add_item:template-03,add_item:template-03,True,2.4401919841766357,1647.0,136.0,0.00020549999999999998,ac8a3e232d9a0ff0213be960c05f849dc6378357b5c8005c88e839dc64293622,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,json_patch,add_item_000,0,add_item,add_item:template-00,add_item:template-00,True,7.521039962768555,1176.0,348.0,0.00022199999999999998,899edf5adc50de88260a9a5ba1197457b968668a0aaa42e2ecf5836d7dcaa4cb,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0.0,False,True,False,True,missing_or_stale_version_test
nvidia/Cosmos3-Super-Reasoner,json_patch,add_item_002,0,add_item,add_item:template-02,add_item:template-02,True,7.6699512004852295,1179.0,359.0,0.00022559999999999998,78dbce48a1f366a0470cbd0bb90c52d93ad43a35f82532a45f904a75e56a1120,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0.0,False,True,False,True,missing_or_stale_version_test
nvidia/Cosmos3-Super-Reasoner,json_patch,add_item_001,0,add_item,add_item:template-01,add_item:template-01,True,7.827378988265991,1183.0,372.0,0.00022989999999999998,a6d67531023c25d00c05fc7c25cb74d86297bd5a491fe6b9a8d30711cb92e0db,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0.0,False,True,False,True,missing_or_stale_version_test
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_004,0,add_item,add_item:template-04,add_item:template-04,True,2.496894121170044,1608.0,129.0,0.0001995,0ec668d4af3d4c73e916593fd94fef0b8db2475e6c6f68343e08e41d0cee1c86,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_005,0,add_item,add_item:template-05,add_item:template-05,True,2.3691298961639404,1609.0,129.0,0.00019959999999999997,73b9423e3a840f6b62bb30b5c935f2d7363b68a2b8926f787f46fc0792965bcd,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,add_item_003,0,add_item,add_item:template-03,add_item:template-03,True,4.922684907913208,1311.0,288.0,0.00021749999999999997,8d0a721f6d405352ca1d466adb534dfe65d3de8399c368a555cd68db06e1901f,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,add_item_004,0,add_item,add_item:template-04,add_item:template-04,True,3.8370091915130615,1272.0,221.0,0.0001935,56a9b7e26c5a5ed3e43dec01eaef19a5117db1afd176269c5831016d9c29c7cc,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,add_item_005,0,add_item,add_item:template-05,add_item:template-05,True,4.093960762023926,1273.0,232.0,0.00019690000000000002,fc8ecd649e761b847d0e8e32af6b49d95c3b8b27e23ad47459d8b1d2dd2bc69d,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,json_patch,add_item_004,0,add_item,add_item:template-04,add_item:template-04,True,6.323725938796997,1182.0,374.0,0.0002304,123774c430a8731bc648722a0d712227ee61d88e589cf9e76c7fc73a6dce5fcb,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0.0,False,True,False,True,missing_or_stale_version_test
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_006,0,add_item,add_item:template-06,add_item:template-06,True,2.5276408195495605,1653.0,132.0,0.0002049,073bb9299fc06691cd140e81230119b15e0355cfbbada41cdf6c3c48e69cc1ac,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,add_item_006,0,add_item,add_item:template-06,add_item:template-06,True,4.165454864501953,1317.0,241.0,0.000204,d11a8fc0d8ed382ba02f67d1d5bbd9db20d90c9f829d1d5579de8a4287e422fb,True,True,False,False,True,,False,False,False,False,True,True,True,0.0,0.0,0.0,True,True,False,False,
nvidia/Cosmos3-Super-Reasoner,json_patch,add_item_003,0,add_item,add_item:template-03,add_item:template-03,True,8.339027881622314,1221.0,499.0,0.0002718,1dd4306291596890908f11660c19774d566d9ca026f306e8af8dcde039c6cee0,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0.0,False,True,False,True,missing_or_stale_version_test
nvidia/Cosmos3-Super-Reasoner,json_patch,add_item_005,0,add_item,add_item:template-05,add_item:template-05,True,6.5176050662994385,1183.0,383.0,0.00023319999999999998,fff0cf8a027e63dc606e97d178f89ab21902d358939643b0da1cec9804ea4faa,True,True,True,False,True,,False,False,False,False,True,True,False,0.0,0.0,0.0,False,True,False,True,missing_or_stale_version_test
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_007,0,add_item,add_item:template-07,add_item:template-07,True,2.7520298957824707,1649.0,145.0,0.0002084,c6cd61a852f6de21781e8184bd8f18088da50045f43452a62f81250132e1b0b7,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,add_item_007,0,add_item,add_item:template-07,add_item:template-07,True,4.505489110946655,1313.0,249.0,0.000206,6231f636d08dc70c707127fb9f1c8f09518128796fa9d702c9e1264852727bd8,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,json_patch,add_item_006,0,add_item,add_item:template-06,add_item:template-06,True,5.39808988571167,1227.0,307.0,0.00021480000000000002,a3ac84bf974a27d808001a6895c594ce36cdc18ade8f75e0074bf7147b90590b,True,True,False,False,True,,False,False,False,False,True,True,False,0.0,0.0,0.0,True,True,False,True,missing_or_stale_version_test
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_008,0,add_item,add_item:template-00,add_item:template-00,True,2.699244976043701,1608.0,139.0,0.0002025,3650b1098df93868e1969bc109c5d1c01ab5552f387b3c972e1808791bbca100,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,line_patch,add_item_009,0,add_item,add_item:template-01,add_item:template-01,True,2.718431234359741,1612.0,131.0,0.0002005,d3fcfef0905c956b56a83dc6fd5811d8e2208a50b2b5bb4288892ef6b6dcf2e7,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
nvidia/Cosmos3-Super-Reasoner,rewrite_with_ids,add_item_008,0,add_item,add_item:template-00,add_item:template-00,True,3.8381481170654297,1272.0,212.0,0.0001908,f19dd04ac6b75583db040248d1b2dfa1d59fe1882347b3e9130091f6d36f76fe,True,True,True,True,True,,True,False,False,False,True,True,True,1.0,1.0,0.0,False,False,False,False,
