model,mode,case_id,category,provider_ok,latency_s,prompt_tokens,completion_tokens,json_valid,schema_valid,status_correct,order_exact,constraints_exact,state_preserved_when_blocked,semantic_ok,unsafe_state_change,unintended_drift,identity_error,operation_executable,status_error,order_error,constraint_error,operation_error,error
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_001,add_item,True,1.8454229831695557,1254,148,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_004,add_item,True,1.848863124847412,1255,113,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_003,add_item,True,1.9008939266204834,1252,143,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_007,add_item,True,1.9228990077972412,1256,148,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_005,add_item,True,1.931863784790039,1258,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_000,add_item,True,1.9518041610717773,1249,143,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_006,add_item,True,1.9759738445281982,1251,143,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_002,add_item,True,2.049396276473999,1258,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_009,add_item,True,0.9354469776153564,1254,143,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_000,remove_scoped_duplicate,True,0.8861019611358643,1331,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_003,remove_scoped_duplicate,True,0.9282801151275635,1334,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,add_item_008,add_item,True,1.0896239280700684,1259,152,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_002,remove_scoped_duplicate,True,1.0542900562286377,1338,147,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_001,remove_scoped_duplicate,True,1.0867619514465332,1302,79,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_004,remove_scoped_duplicate,True,1.1724491119384766,1303,105,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_005,remove_scoped_duplicate,True,1.2455470561981201,1338,147,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_006,remove_scoped_duplicate,True,0.9382288455963135,1333,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_007,remove_scoped_duplicate,True,0.9422240257263184,1304,79,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_008,remove_scoped_duplicate,True,0.8633918762207031,1339,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_000,quantity_increase,True,1.1356661319732666,1288,142,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_001,quantity_increase,True,1.200282096862793,1291,109,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,remove_scoped_duplicate_009,remove_scoped_duplicate,True,1.2919001579284668,1336,112,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_002,quantity_increase,True,1.3056230545043945,1295,109,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_003,quantity_increase,True,1.7476532459259033,1291,142,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_007,quantity_increase,True,1.218757152557373,1293,109,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_008,quantity_increase,True,1.5905630588531494,1296,109,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_005,quantity_increase,True,2.081538677215576,1295,109,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_006,quantity_increase,True,2.334585189819336,1290,142,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_009,quantity_increase,True,1.922739028930664,1293,142,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_increase_004,quantity_increase,True,2.5863428115844727,1292,144,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_decrease_000,quantity_decrease,True,1.9745712280273438,1285,142,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_decrease_001,quantity_decrease,True,1.6355280876159668,1291,144,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_decrease_004,quantity_decrease,True,1.0129411220550537,1292,109,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
Qwen/Qwen3-235B-A22B-Instruct-2507,rewrite,quantity_decrease_002,quantity_decrease,True,1.7370140552520752,1296,146,True,True,True,True,True,False,True,False,False,False,True,False,False,False,False,
